date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,23.2,61.4,38.54,30.9,49.4,10.94,318
2021-09-08T00:00:00.000Z,44.8,58.5,54.6,51.05,55.8,3.149,584
2021-09-09T00:00:00.000Z,25.6,54.9,47.7,41.6,50.7,7.837,574
2021-09-10T00:00:00.000Z,17.9,47.4,37.1,29.4,41.5,7.327,591
2021-09-11T00:00:00.000Z,10.1,54.9,44.1,15.9,49.3,16.129,639
2021-09-12T00:00:00.000Z,7,25.9,10.95,9.8,12.7,2.553,614
2021-09-13T00:00:00.000Z,1.8,20.1,6.4,4.1,8.9,3.042,559
2021-09-14T00:00:00.000Z,0.7,9.9,2.9,1.9,4.2,2.005,556
2021-09-15T00:00:00.000Z,2.9,18.7,7.3,5.7,9,2.239,617
2021-09-16T00:00:00.000Z,2,14.7,5,3.8,6.4,1.925,590
2021-09-17T00:00:00.000Z,3.5,50.5,9.6,7.5,12.7,8.791,604
2021-09-18T00:00:00.000Z,3.7,20,6.2,5.2,7.9,2.284,599
2021-09-19T00:00:00.000Z,0.1,32,4.5,1.1,6.9,3.526,576
2021-09-20T00:00:00.000Z,1.8,26.5,7.9,6.6,12.6,5.239,586
2021-09-21T00:00:00.000Z,0.2,15.1,1.8,1.3,2.2,1.063,565
2021-09-22T00:00:00.000Z,0.1,7.5,2.3,1.5,3.3,1.445,559
2021-09-23T00:00:00.000Z,0,10.8,3,0.9,4.5,2.172,569
2021-09-24T00:00:00.000Z,1,46.5,14.9,2.9,20.7,11.441,579
2021-09-25T00:00:00.000Z,1.5,11.3,4.3,3.5,5.2,1.416,592
2021-09-26T00:00:00.000Z,2.4,11.2,5,4.1,7.05,1.785,557
2021-09-27T00:00:00.000Z,0.5,22.2,7.9,3.5,9.85,3.898,601
2021-09-28T00:00:00.000Z,1.6,18.3,7.6,6.7,8.8,2.286,590
2021-09-29T00:00:00.000Z,2.8,26.9,8.3,6.4,11.05,5.628,569
2021-09-30T00:00:00.000Z,0.1,16,5.7,2.6,8,3.111,570
2021-10-01T00:00:00.000Z,1.5,18.6,6.15,3.9,11.1,4.479,588
2021-10-02T00:00:00.000Z,2.9,16.5,7.3,4.5,9.69,3.485,590
2021-10-03T00:00:00.000Z,3.4,28.3,6.65,5.1,8.69,3.12,586
2021-10-04T00:00:00.000Z,2.5,14.3,6.4,4.3,7.7,2.237,574
2021-10-05T00:00:00.000Z,2.9,13.1,5.8,4.8,7,1.97,583
2021-10-06T00:00:00.000Z,1.4,14.6,5.15,3.4,7,2.786,564
2021-10-07T00:00:00.000Z,0,12.2,1.9,0.8,3.8,2.502,567
2021-10-08T00:00:00.000Z,0.4,95,2.5,1.4,3.6,7.645,572
2021-10-09T00:00:00.000Z,0,3.6,0.7,0.3,1.4,0.725,526
2021-10-10T00:00:00.000Z,0,19.2,1.2,0.8,1.8,1.906,554
2021-10-11T00:00:00.000Z,0.8,23.9,5.9,3.5,7.8,3.115,591
2021-10-12T00:00:00.000Z,0,20.7,2.3,1.4,3,1.565,548
2021-10-13T00:00:00.000Z,0,8.1,0.4,0.2,1.6,1.116,522
2021-10-14T00:00:00.000Z,0.2,7,2.5,1.2,3.1,1.169,552
2021-10-15T00:00:00.000Z,0.2,14.7,3.2,2.2,6.7,3.486,573
2021-10-16T00:00:00.000Z,0.5,17.5,6.6,2.2,11.2,4.669,591
2021-10-17T00:00:00.000Z,0.5,25.3,4.6,2,7.15,3.42,545
2021-10-18T00:00:00.000Z,0.6,21.6,3.9,2.1,6.5,2.884,598
2021-10-19T00:00:00.000Z,0,7,1.8,0.9,2.8,1.173,576
2021-10-20T00:00:00.000Z,0,8.1,1.3,0.6,2.5,1.589,427
2021-10-21T00:00:00.000Z,0.1,14.6,3.6,1.45,4.84,2.291,572
2021-10-22T00:00:00.000Z,0,52.1,4.4,1.9,7.4,4.489,595
2021-10-23T00:00:00.000Z,0.2,14.7,3,1.6,4.59,2.443,567
2021-10-24T00:00:00.000Z,0,14.7,2.1,0.4,4.9,3.075,552
2021-10-25T00:00:00.000Z,0,16.5,2.29,1.5,3.2,1.826,596
2021-10-26T00:00:00.000Z,0,37.2,3.1,2,3.9,2.738,559
2021-10-27T00:00:00.000Z,0,24.1,0.2,0.1,0.7,1.945,462
2021-10-28T00:00:00.000Z,0,10.3,0.8,0.5,1.3,1.943,557
