date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,4,47,30.5,7,41,15.916,130
2022-05-29T00:00:00.000Z,4,43,18,13,29,10.521,176
2022-05-30T00:00:00.000Z,7,41,17,10,28,10.013,139
2022-05-31T00:00:00.000Z,12,39,22,18,27,6.433,143
2022-06-01T00:00:00.000Z,21,76,55,46,70.5,13.599,205
2022-06-02T00:00:00.000Z,23,69,34,29,62,16.543,229
2022-06-03T00:00:00.000Z,24,72,41,33,50.5,13.087,225
2022-06-04T00:00:00.000Z,5,69,34.5,20,53,19.895,214
2022-06-05T00:00:00.000Z,5,54,26,11,40,15.446,188
2022-06-06T00:00:00.000Z,11,52,25,20,40,11.024,216
2022-06-07T00:00:00.000Z,17,54,32,23,47,12.281,248
2022-06-08T00:00:00.000Z,13,57,23,18,41,13.577,214
2022-06-09T00:00:00.000Z,13,64,35,27,48,13.722,218
2022-06-10T00:00:00.000Z,12,60,26,18,46,14.89,244
2022-06-11T00:00:00.000Z,5,61,30,11,50,19.001,195
2022-06-12T00:00:00.000Z,3,44,15.5,9.5,29.5,12.286,184
2022-06-13T00:00:00.000Z,2,42,17,5,32,13.034,191
2022-06-14T00:00:00.000Z,4,33,14,11,19,7.168,160
2022-06-15T00:00:00.000Z,5,41,19,14,29,9.573,159
2022-06-16T00:00:00.000Z,10,49,21.5,17,37,11.569,166
2022-06-17T00:00:00.000Z,8,42,14,11,27.5,11.221,172
2022-06-18T00:00:00.000Z,11,46,22,15,33,10.227,249
2022-06-19T00:00:00.000Z,15,46,27,19.5,36,8.862,225
2022-06-20T00:00:00.000Z,7,62,33,12,48,16.629,244
2022-06-21T00:00:00.000Z,10,29,17.5,14,23,5.366,130
2022-06-22T00:00:00.000Z,13,60,25.5,20,44,13.684,196
2022-06-23T00:00:00.000Z,8,47,22,13,34,12.217,211
2022-06-24T00:00:00.000Z,6,43,23,13,31,10.199,195
2022-06-25T00:00:00.000Z,16,49,31,26,36,7.497,204
2022-06-26T00:00:00.000Z,34,75,48,44,55,9.804,191
2022-06-27T00:00:00.000Z,24,63,37.5,27,55,14.084,230
2022-06-28T00:00:00.000Z,7,72,38,19,55,20.34,183
2022-06-29T00:00:00.000Z,4,48,18,8,33,13.408,159
2022-06-30T00:00:00.000Z,5,40,20.5,15.5,33,9.859,192
2022-07-01T00:00:00.000Z,17,67,53,32,59,15.166,270
2022-07-02T00:00:00.000Z,18,78,51,24,70,21.538,243
2022-07-03T00:00:00.000Z,11,75,51,20,64,21.611,238
2022-07-04T00:00:00.000Z,7,52,27,12,42,14.362,171
2022-07-05T00:00:00.000Z,8,49,29,18.5,34,10.467,253
