date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,50,106,93,69,96,14.274,216
2022-05-29T00:00:00.000Z,21.6,100,33.8,32.2,66.5,21.49,316
2022-05-30T00:00:00.000Z,10,32.2,24.4,21.6,27.2,3.868,267
2022-05-31T00:00:00.000Z,12.7,30,24.4,18.8,27.2,4.939,266
2022-06-01T00:00:00.000Z,8.8,27.7,16.1,12.2,18.8,4.345,211
2022-06-02T00:00:00.000Z,10,33.3,25.25,15.5,28.3,6.487,264
2022-06-03T00:00:00.000Z,10.5,35.5,25,21.1,29.4,5.756,256
2022-06-04T00:00:00.000Z,13.3,44.4,30,20.5,40,10.207,286
2022-06-05T00:00:00.000Z,17.2,44.4,35,26.6,39.4,7.695,294
2022-06-06T00:00:00.000Z,16.1,43.3,35,25.5,37.2,6.856,275
2022-06-07T00:00:00.000Z,18.3,40,32.2,23.8,36.1,6.393,267
2022-06-08T00:00:00.000Z,18.3,34.4,31.1,25,31.6,4.671,279
2022-06-09T00:00:00.000Z,16.6,39.4,28.8,23.3,33.8,6.133,221
2022-06-10T00:00:00.000Z,17.7,42.7,35.5,23.8,39.4,8.023,283
2022-06-11T00:00:00.000Z,18.3,47.7,38.8,27.7,44.4,9.034,311
2022-06-12T00:00:00.000Z,20.5,49.4,38.8,33.54,46.1,8.095,297
2022-06-13T00:00:00.000Z,18.3,48.8,40,29.4,43.8,8.71,285
2022-06-14T00:00:00.000Z,17.2,41.6,35.5,29.4,37.7,5.714,273
2022-06-15T00:00:00.000Z,15.5,38.3,31.35,25,35.5,6.075,270
2022-06-16T00:00:00.000Z,18.3,42.2,37.2,27.7,39.4,7.293,287
2022-06-17T00:00:00.000Z,20,47.2,38.29,33.29,42.7,6.77,266
2022-06-18T00:00:00.000Z,22.2,43.3,35.5,30.5,39.4,5.834,302
2022-06-19T00:00:00.000Z,22.2,38.3,32.2,27.45,35,4.361,293
2022-06-20T00:00:00.000Z,20,43.3,32.7,25,38.3,7.336,267
2022-06-21T00:00:00.000Z,19.4,35,27.7,25.5,29.7,3.316,221
2022-06-22T00:00:00.000Z,12.2,40.5,30,20.5,33.3,7.569,269
2022-06-23T00:00:00.000Z,19.4,46.1,34.1,27.7,39.4,7.405,314
2022-06-24T00:00:00.000Z,21.1,47.2,34.4,26.6,38.3,6.714,298
2022-06-25T00:00:00.000Z,21.1,35,28.3,25.5,31.6,3.717,247
2022-06-26T00:00:00.000Z,13.3,26.6,22.2,20,23.3,2.427,193
2022-06-27T00:00:00.000Z,16.6,36.6,30,20.25,32.2,6.079,253
2022-06-28T00:00:00.000Z,14.4,42.2,35.5,22.7,38.8,8.87,288
2022-06-29T00:00:00.000Z,15.5,48.3,40.5,27.7,43.8,9.561,286
