date,min,max,median,q1,q3,stdev,count
2024-08-13T00:00:00.000Z,8.36,15.45,9.44,8.52,10.34,2.442,6
2024-08-14T00:00:00.000Z,7.87,19.32,10.43,9.74,14.2,3.133,16
2024-08-15T00:00:00.000Z,7.04,25.31,11.58,8.85,20.22,5.915,17
2024-08-16T00:00:00.000Z,9.49,25.42,18.88,11.42,21.13,5.149,15
2024-08-17T00:00:00.000Z,7.87,15.09,11.37,10.01,12.7,1.943,15
2024-08-18T00:00:00.000Z,8.69,26.02,14.68,12.29,18.93,5.025,16
2024-08-19T00:00:00.000Z,8.67,25.29,12.35,10.3,13.8,3.448,23
2024-08-20T00:00:00.000Z,8.89,22.41,11.98,10.29,13.12,3.45,16
2024-08-21T00:00:00.000Z,8.15,20.9,8.77,8.53,12.17,3.122,18
2024-08-22T00:00:00.000Z,8.35,24.53,9.57,8.94,12.53,3.843,22
2024-08-23T00:00:00.000Z,8.19,17.39,13.01,9.21,14.48,3.014,18
2024-08-24T00:00:00.000Z,7.04,18.54,8.8,8.18,10.88,3.069,23
2024-08-25T00:00:00.000Z,7.11,26.08,8.39,7.75,11.04,5.083,24
2024-08-26T00:00:00.000Z,7.24,21.38,13.32,8.46,16.1,4.378,22
2024-08-27T00:00:00.000Z,6.73,27.49,10.79,8.5,22,6.566,19
2024-08-28T00:00:00.000Z,6.8,13.84,10.89,8.85,12.4,2.094,18
2024-08-29T00:00:00.000Z,6.35,27.48,9.82,8.07,10.75,4.393,20
2024-08-30T00:00:00.000Z,6.56,21.98,10.94,8.23,15.88,4.78,22
2024-08-31T00:00:00.000Z,6.3,15.05,8.3,6.75,9.99,2.338,16
2024-09-01T00:00:00.000Z,5.87,14.4,9.05,7.4,12.06,2.397,22
2024-09-02T00:00:00.000Z,5.73,14.82,8.06,6.98,10.08,2.329,19
2024-09-03T00:00:00.000Z,5.83,14.73,8.77,7.28,10.66,2.29,18
2024-09-04T00:00:00.000Z,6.5,28.82,7.81,7.23,15.14,7.103,19
2024-09-05T00:00:00.000Z,4.49,21.53,10.56,5.25,16.43,5.736,17
2024-09-06T00:00:00.000Z,4.44,23.08,9.07,5.11,15.17,5.89,17
2024-09-07T00:00:00.000Z,4.51,13.27,6.9,6.35,8.19,2.087,15
2024-09-08T00:00:00.000Z,4.37,13.23,8.5,6.41,11.03,2.643,17
2024-09-09T00:00:00.000Z,4.11,19.7,7.14,6.31,9.66,3.327,19
2024-09-10T00:00:00.000Z,4.03,27.15,8.69,6.74,13.24,5.524,18
2024-09-11T00:00:00.000Z,4.03,17.14,7.86,6.14,10.76,3.519,24
2024-09-12T00:00:00.000Z,3.47,18.14,7.41,6.15,8.27,2.999,23
2024-09-13T00:00:00.000Z,5.05,26.21,8.02,6.63,16.51,6.598,24
2024-09-14T00:00:00.000Z,4.75,25.02,12.84,7.62,16.73,5.552,19
2024-09-15T00:00:00.000Z,4.63,21.93,10.9,6.8,14.56,4.627,21
2024-09-16T00:00:00.000Z,4.73,22.92,7.61,5.77,10.69,4.544,23
2024-09-17T00:00:00.000Z,4.61,16.78,6.35,5.57,7.62,2.663,24
2024-09-18T00:00:00.000Z,4.64,16.77,8.88,6.14,11.02,3.276,12
