date,min,max,median,q1,q3,stdev,count
2024-08-13T00:00:00.000Z,4.43,9.56,5.71,4.76,7,1.533,10
2024-08-14T00:00:00.000Z,3.46,4.71,3.97,3.84,4.19,0.329,24
2024-08-15T00:00:00.000Z,3.7,4.84,4.09,4,4.29,0.246,24
2024-08-16T00:00:00.000Z,4.36,12.03,5.43,4.86,8.51,2.393,24
2024-08-17T00:00:00.000Z,3.14,6.14,5.15,3.45,5.65,1.058,24
2024-08-18T00:00:00.000Z,3.28,4.46,4.11,3.55,4.21,0.363,24
2024-08-19T00:00:00.000Z,3.87,4.91,4.15,3.99,4.38,0.297,24
2024-08-20T00:00:00.000Z,3.42,5.46,4.38,3.86,4.67,0.525,24
2024-08-21T00:00:00.000Z,3.29,4.58,4.03,3.52,4.22,0.394,24
2024-08-22T00:00:00.000Z,3.51,7.89,4.04,3.68,4.55,0.974,24
2024-08-23T00:00:00.000Z,3.63,5.94,4.45,4.04,4.88,0.594,24
2024-08-24T00:00:00.000Z,3.45,4.53,3.88,3.68,4.32,0.339,24
2024-08-25T00:00:00.000Z,3.31,7.36,4.15,3.66,4.67,0.965,24
2024-08-26T00:00:00.000Z,3.38,4.5,4.03,3.68,4.13,0.304,24
2024-08-27T00:00:00.000Z,4.12,6.51,5.64,5.22,5.81,0.536,24
2024-08-28T00:00:00.000Z,5.19,6.1,5.56,5.41,5.88,0.27,24
2024-08-29T00:00:00.000Z,5.15,7.71,6.14,5.8,6.48,0.647,24
2024-08-30T00:00:00.000Z,5.12,7.05,6.65,5.98,6.89,0.575,24
2024-08-31T00:00:00.000Z,7.19,17.63,8.36,7.83,10.26,3.124,24
2024-09-01T00:00:00.000Z,4.88,13.67,11.15,7.2,11.89,2.714,24
2024-09-02T00:00:00.000Z,4.21,6.51,4.72,4.58,5.27,0.573,24
2024-09-03T00:00:00.000Z,4.83,7.11,5.95,5.35,6.25,0.646,24
2024-09-04T00:00:00.000Z,3.58,7.09,5.91,5.24,6.34,0.813,24
2024-09-05T00:00:00.000Z,3.76,11.86,5.03,4.15,7.06,2.662,20
2024-09-06T00:00:00.000Z,8.6,12.01,11.23,10.6,11.46,0.907,24
2024-09-07T00:00:00.000Z,8.27,13.04,11.87,9.61,12.35,1.464,22
2024-09-08T00:00:00.000Z,6.8,10.83,9.48,8.01,9.72,1.103,24
2024-09-09T00:00:00.000Z,7.16,10.98,8.31,7.62,9.77,1.193,24
2024-09-10T00:00:00.000Z,7.66,19.32,8.48,8.11,10.5,2.614,24
2024-09-11T00:00:00.000Z,5.19,10.32,8.02,6.97,8.56,1.116,24
2024-09-12T00:00:00.000Z,4.75,9.18,5.48,5.18,7.56,1.373,24
2024-09-13T00:00:00.000Z,7.58,17.68,9.58,8.06,12.47,2.686,24
2024-09-14T00:00:00.000Z,6.55,12.35,10.71,9.06,11.34,1.673,24
2024-09-15T00:00:00.000Z,5.53,9.23,8.27,6.96,8.72,1.068,24
2024-09-16T00:00:00.000Z,4.21,6.64,6.13,4.66,6.45,0.896,24
2024-09-17T00:00:00.000Z,3.53,4.89,4.08,3.83,4.56,0.403,24
2024-09-18T00:00:00.000Z,3.46,4.44,3.62,3.53,4.05,0.311,13
